subid,list
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-14-sc,2
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-15-sc,1
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-16-sc,2
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-17-sc,1
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-18-sc,2
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-19-sc,1
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-20-sc,2
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-21-sc,1
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150116-22-sc,2
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120,1
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-01-sc,2
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-03-sc,1
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-04-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-05-sc,2
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
150120-06-sc,1
Test,1
test,1
test,1
test,1
test,1
test,1
test,1
test,1
test,1
test,1
test,1
test,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-01-sc,1
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-02-sc,2
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
150122-03-sc,1
